Tasks, Init Task size, Init Task needed cycle breaking, Methods, min(excl. init), max(excl. init), avg(excl. init), Num methods needed cycle breaking, Num methods with > 1 subtasks, Recursive, TDG Height(root=0), find all prec eff(secs), find new orderings(secs), break cycles and topSort(secs), Preprocessing time, Grounding time, Problem Name
44, 9, true, 42, 1, 2, 1.28571, 14, 14, true, 5, 1.3e-05, 2.2e-05, 0.000444, 0.000838, .004939199, Transport/pfile03
1416, 20, true, 1406, 1, 3, 1.42959, 506, 506, true, 12, 0.002097, 0.002156, 0.010594, 0.021487, .029225844, Transport/pfile28
605, 10, true, 634, 1, 3, 1.36751, 205, 205, true, 14, 0.000523, 0.000376, 0.002342, 0.003793, .014276357, Transport/pfile23
1161, 15, true, 1241, 1, 3, 1.43836, 471, 471, true, 13, 0.001486, 0.001296, 0.005449, 0.010372, .022039578, Transport/pfile27
2649, 20, true, 3037, 1, 3, 1.39085, 1069, 1069, true, 25, 0.006846, 0.004907, 0.013934, 0.031823, .049775321, Transport/pfile30
204, 7, true, 197, 1, 3, 1.42132, 71, 71, true, 9, 9.8e-05, 9.3e-05, 0.000817, 0.001181, .007499196, Transport/pfile15
20001, 120, true, 20561, 1, 3, 1.36375, 6281, 6281, true, 51, 0.18791, 0.372011, 9.47127, 19.6905, .647888268, Transport/pfile40
363, 35, true, 341, 1, 3, 1.38416, 112, 112, true, 9, 0.000215, 0.000576, 0.003773, 0.007412, .012124335, Transport/pfile24
9038, 70, true, 9920, 1, 3, 1.38165, 3298, 3298, true, 46, 0.057254, 0.063042, 1.04473, 2.20227, .215759997, Transport/pfile35
115, 4, true, 109, 1, 3, 1.41284, 39, 39, true, 6, 5.6e-05, 4.2e-05, 0.000427, 0.000581, .011462463, Transport/pfile11
71, 15, true, 66, 1, 2, 1.28788, 21, 21, true, 6, 2.4e-05, 5.3e-05, 0.002545, 0.005027, .005693271, Transport/pfile06
81, 15, true, 74, 1, 2, 1.21622, 18, 18, true, 6, 2.8e-05, 5e-05, 0.002407, 0.004851, .005559050, Transport/pfile05
103, 21, true, 91, 1, 2, 1.1978, 20, 20, true, 5, 3.2e-05, 8.8e-05, 0.008239, 0.016727, .006138775, Transport/pfile09
144, 5, true, 137, 1, 3, 1.41606, 49, 49, true, 6, 5.7e-05, 5.3e-05, 0.000531, 0.000715, .006160663, Transport/pfile13
79, 18, true, 70, 1, 2, 1.27143, 21, 21, true, 5, 2.7e-05, 6.8e-05, 0.004665, 0.0093, .005833241, Transport/pfile07
68, 12, true, 63, 1, 2, 1.22222, 16, 16, true, 5, 2.2e-05, 3.7e-05, 0.001092, 0.002124, .005019320, Transport/pfile04
309, 6, true, 353, 1, 3, 1.3881, 127, 127, true, 15, 0.000227, 0.000147, 0.001221, 0.001737, .010247415, Transport/pfile20
933, 16, true, 949, 1, 3, 1.43309, 349, 349, true, 14, 0.001181, 0.001073, 0.006078, 0.011272, .020457244, Transport/pfile25
13, 2, true, 13, 2, 5, 3.38462, 13, 13, true, 2, 5e-06, 1e-05, 0.000286, 0.00032, .004549855, PCP/p-pcp01
15, 2, true, 17, 2, 5, 3.64706, 17, 17, true, 2, 4e-06, 1.4e-05, 0.000425, 0.000463, .004216624, PCP/p-pcp02
13, 2, true, 13, 2, 5, 3.38462, 13, 13, true, 2, 1.1e-05, 1e-05, 0.000285, 0.000326, .003615863, PCP/p-pcp03
15, 2, true, 13, 2, 4, 2.92308, 13, 13, true, 2, 5e-06, 8e-06, 0.000225, 0.000257, .004103661, PCP/p-pcp04
15, 2, true, 17, 2, 7, 4.23529, 17, 17, true, 2, 6e-06, 1.9e-05, 0.000743, 0.000787, .004482888, PCP/p-pcp05
13, 2, true, 13, 2, 7, 3.53846, 13, 13, true, 2, 4e-06, 1.1e-05, 0.000439, 0.000474, .004337473, PCP/p-pcp06
13, 2, true, 13, 2, 6, 3.53846, 13, 13, true, 2, 4e-06, 1.1e-05, 0.000364, 0.000398, .003846568, PCP/p-pcp07
13, 2, true, 13, 2, 5, 3.38462, 13, 13, true, 2, 5e-06, 1e-05, 0.00031, 0.000345, .003810583, PCP/p-pcp08
17, 2, true, 17, 2, 5, 2.94118, 17, 17, true, 2, 7e-06, 1.1e-05, 0.000295, 0.000332, .004221725, PCP/p-pcp09
11, 2, true, 9, 2, 4, 2.66667, 9, 9, true, 2, 4e-06, 6e-06, 0.000136, 0.000189, .003649622, PCP/p-pcp10
11, 2, true, 9, 2, 5, 3.11111, 9, 9, true, 2, 3e-06, 7e-06, 0.000214, 0.000243, .003889562, PCP/p-pcp11
11, 2, true, 9, 2, 6, 3.55556, 9, 9, true, 2, 3e-06, 8e-06, 0.000333, 0.000369, .003700265, PCP/p-pcp12
11, 2, true, 9, 2, 7, 4, 9, 9, true, 2, 5e-06, 1e-05, 0.000536, 0.00057, .003753110, PCP/p-pcp13
11, 2, true, 9, 2, 8, 4.44444, 9, 9, true, 2, 3e-06, 1.2e-05, 0.000808, 0.00084, .003610112, PCP/p-pcp14
11, 2, true, 9, 2, 5, 3.11111, 9, 9, true, 2, 3e-06, 7e-06, 0.000212, 0.00024, .003927823, PCP/p-pcp15
13, 2, true, 13, 2, 4, 2.92308, 13, 13, true, 2, 5e-06, 9e-06, 0.000216, 0.000249, .004363831, PCP/p-pcp16
13, 2, true, 13, 2, 5, 2.92308, 13, 13, true, 2, 5e-06, 9e-06, 0.00025, 0.000285, .003814339, PCP/p-pcp17
67418, 1, false, 55016, 1, 12, 2.21425, 15612, 48960, true, 9, 0.778807, 0.661582, 0.281638, 1.73008, 1.879062845, Monroe-Fully-Observable/pfile01-p-0088-quell-riot-1-tlt
68890, 1, false, 56051, 1, 12, 2.21427, 15924, 49852, true, 10, 0.879841, 0.744569, 0.311049, 1.9439, 2.088605451, Monroe-Fully-Observable/pfile02-p-0068-provide-medical-attention-4-tlt
67422, 1, false, 55020, 1, 12, 2.21416, 15612, 48960, true, 10, 1.1499, 0.871536, 0.353081, 2.38417, 2.363868373, Monroe-Fully-Observable/pfile03-p-0014-fix-power-line-3-tlt
67435, 1, false, 55031, 1, 12, 2.21412, 15759, 48963, true, 10, 1.19909, 0.940189, 0.386501, 2.53558, 2.182812782, Monroe-Fully-Observable/pfile04-p-0025-clear-road-wreck-7-tlt
73827, 1, false, 60547, 1, 12, 2.19951, 17124, 53620, true, 9, 0.918568, 0.758188, 0.318705, 2.0055, 2.227479670, Monroe-Fully-Observable/pfile05-p-0076-plow-road-4-tlt
67436, 1, false, 55034, 1, 12, 2.21385, 15756, 48960, true, 10, 0.824061, 0.765909, 0.26765, 1.86733, 2.008236585, Monroe-Fully-Observable/pfile06-p-0100-fix-water-main-10-tlt
67433, 1, false, 55031, 1, 12, 2.21395, 15612, 48961, true, 10, 0.887413, 0.702324, 0.277733, 1.87696, 2.454628413, Monroe-Fully-Observable/pfile07-p-0073-provide-temp-heat-8-tlt
67818, 1, false, 55321, 1, 12, 2.21697, 15915, 49245, true, 10, 0.915092, 0.663125, 0.291968, 1.87921, 2.179585562, Monroe-Fully-Observable/pfile08-p-0017-clear-road-tree-9-tlt
67811, 1, false, 55314, 1, 12, 2.21703, 15780, 49244, true, 10, 0.915571, 0.694899, 0.292435, 1.91155, 2.032264952, Monroe-Fully-Observable/pfile09-p-0018-fix-power-line-6-tlt
67428, 1, false, 55026, 1, 12, 2.21403, 15612, 48960, true, 10, 0.995091, 0.714162, 0.264543, 1.98271, 2.125933811, Monroe-Fully-Observable/pfile10-p-0028-set-up-shelter-6-tlt
68884, 1, false, 56045, 1, 12, 2.2144, 15924, 49852, true, 10, 1.00465, 0.81135, 0.299592, 2.12542, 2.100781842, Monroe-Fully-Observable/pfile11-p-0034-provide-medical-attention-1-tlt
67425, 1, false, 55023, 1, 12, 2.21413, 15612, 48961, true, 10, 0.824333, 0.688065, 0.326409, 1.84785, 2.125743744, Monroe-Fully-Observable/pfile12-p-0073-provide-temp-heat-4-tlt
67418, 1, false, 55016, 1, 12, 2.21425, 15612, 48960, true, 10, 0.948208, 0.727939, 0.30465, 1.99035, 1.994332854, Monroe-Fully-Observable/pfile13-p-0028-set-up-shelter-1-tlt
67801, 1, false, 55304, 1, 12, 2.21725, 15770, 49244, true, 10, 0.843699, 0.648231, 0.266956, 1.76706, 2.026794022, Monroe-Fully-Observable/pfile14-p-0094-fix-power-line-1-tlt
73821, 1, false, 60541, 1, 12, 2.19963, 17124, 53620, true, 10, 0.89512, 0.755413, 0.301454, 1.96142, 1.978701590, Monroe-Fully-Observable/pfile15-p-0021-plow-road-1-tlt
67425, 1, false, 55021, 1, 12, 2.21434, 15615, 48963, true, 10, 0.834986, 0.64418, 0.264141, 1.75202, 1.926249960, Monroe-Fully-Observable/pfile16-p-0005-clear-road-wreck-2-tlt
67430, 1, false, 55028, 1, 12, 2.21398, 15756, 48960, true, 10, 0.824572, 0.673976, 0.27313, 1.78034, 1.921506268, Monroe-Fully-Observable/pfile17-p-0100-fix-water-main-7-tlt
67422, 1, false, 55020, 1, 12, 2.21416, 15612, 48960, true, 10, 0.847788, 0.639456, 0.269737, 1.7654, 1.976057629, Monroe-Fully-Observable/pfile18-p-0058-fix-water-main-3-tlt
67439, 1, false, 55037, 1, 12, 2.21389, 15757, 48963, true, 10, 1.18384, 0.805356, 0.34111, 2.3394, 2.107014505, Monroe-Fully-Observable/pfile19-p-0054-clear-road-hazard-9-tlt
67425, 1, false, 55021, 1, 12, 2.21434, 15615, 48963, true, 10, 0.910039, 0.694194, 0.277227, 1.8898, 2.015751998, Monroe-Fully-Observable/pfile20-p-0046-clear-road-wreck-2-tlt
67801, 1, false, 55304, 1, 12, 2.21725, 15770, 49244, true, 10, 0.980331, 0.760583, 0.310483, 2.06121, 1.932598981, Monroe-Fully-Observable/pfile21-p-0018-fix-power-line-1-tlt
67429, 1, false, 55027, 1, 12, 2.21411, 15613, 48963, true, 10, 1.03354, 0.760029, 0.291372, 2.09436, 2.246526376, Monroe-Fully-Observable/pfile22-p-0037-clear-road-hazard-4-tlt
67451, 1, false, 55049, 1, 12, 2.21356, 15612, 48961, true, 10, 1.00947, 0.772933, 0.333656, 2.12614, 2.571219811, Monroe-Fully-Observable/pfile23-p-0086-provide-temp-heat-17-tlt
67427, 1, false, 55025, 1, 12, 2.21416, 15613, 48963, true, 10, 0.906029, 0.719587, 0.289302, 1.9237, 1.990999036, Monroe-Fully-Observable/pfile24-p-0059-clear-road-hazard-3-tlt
67425, 1, false, 55023, 1, 12, 2.2142, 15613, 48963, true, 10, 0.908116, 0.767525, 0.309749, 1.99361, 2.075412610, Monroe-Fully-Observable/pfile25-p-0050-clear-road-hazard-2-tlt
485, 4, true, 449, 1, 4, 2.01336, 209, 409, false, 7, 0.000376, 0.000282, 0.002122, 0.002897, .025921374, Zenotravel/zenotravel05
123, 3, true, 104, 1, 6, 2.00962, 53, 95, false, 5, 4.6e-05, 4.6e-05, 0.000539, 0.000669, .011162479, Zenotravel/zenotravel01
97, 3, true, 77, 1, 6, 2.02597, 37, 69, false, 6, 4.2e-05, 3.6e-05, 0.000397, 0.000509, .010674942, Zenotravel/zenotravel02
281, 5, true, 239, 1, 6, 2.08368, 113, 213, false, 7, 0.000174, 0.000179, 0.00131, 0.001771, .016243176, Zenotravel/zenotravel04
228, 6, true, 184, 1, 6, 2.16848, 85, 165, false, 7, 0.000169, 0.0002, 0.001094, 0.001603, .017003035, Zenotravel/zenotravel03
10, 7, true, 3, 1, 2, 1, 2, 2, false, 2, 3e-06, 5e-06, 0.0001, 0.000216, .026571048, SmartPhone/06-OrganizeMeeting_with_preferences_noPhoneNumber
74, 24, true, 77, 1, 6, 1.16883, 6, 10, true, 3, 2.6e-05, 0.00013, 0.001817, 0.003631, .026736327, SmartPhone/03-OrganizeMeeting_Small
26, 5, true, 12, 1, 2, 1, 6, 6, false, 3, 9e-06, 1.9e-05, 0.000241, 0.000332, .026864434, SmartPhone/05-OrganizeMeeting_with_preferences_hasPhoneNumber
281, 45, true, 344, 1, 6, 1.05523, 6, 16, true, 3, 0.000183, 0.000819, 0.019118, 0.039117, .032552722, SmartPhone/04-OrganizeMeeting_Large
22, 7, true, 25, 1, 2, 1.08, 2, 4, true, 2, 1.1e-05, 8e-06, 9.5e-05, 0.00018, .023259185, SmartPhone/02-OrganizeMeeting_VerySmall
23, 16, true, 9, 1, 2, 1.22222, 4, 4, false, 3, 8e-06, 3.6e-05, 0.000572, 0.001166, .023548994, SmartPhone/07-ThesisExampleProblem
10, 7, true, 3, 1, 2, 1, 2, 2, false, 2, 3e-06, 5e-06, 9.6e-05, 0.00021, .022570340, SmartPhone/01-OrganizeMeeting_VeryVerySmall
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.081603, 0.056689, 0.05546, 0.195938, .888832100, Monroe/p-0021-plow-road
13609, 4, true, 14132, 1, 5, 1.87744, 3332, 9682, true, 8, 0.115571, 0.088975, 0.068006, 0.274691, 1.006234375, Monroe/p-0071-clear-road-hazard
13609, 4, true, 14132, 1, 5, 1.87744, 3332, 9682, true, 8, 0.107403, 0.08785, 0.068039, 0.265529, 1.027550171, Monroe/p-0062-clear-road-hazard
17739, 2, false, 27207, 1, 6, 2.08932, 7138, 22607, true, 10, 0.191026, 0.261374, 0.165651, 0.622351, 1.286616210, Monroe/p-0031-provide-temp-heat
14373, 3, true, 23727, 1, 8, 1.97147, 4072, 19127, true, 7, 0.14698, 0.127983, 0.103088, 0.38141, 1.188981862, Monroe/p-0094-fix-power-line
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.097391, 0.054824, 0.049125, 0.203458, 1.111040797, Monroe/p-0065-clear-road-wreck
8392, 7, true, 9159, 1, 5, 1.69058, 1238, 5714, true, 7, 0.071025, 0.037265, 0.033778, 0.143917, .967625891, Monroe/p-0099-fix-power-line
17739, 2, false, 27207, 1, 6, 2.08932, 7138, 22607, true, 10, 0.172989, 0.184571, 0.115476, 0.47669, 1.370632145, Monroe/p-0007-provide-temp-heat
17739, 2, false, 27207, 1, 6, 2.08932, 7138, 22607, true, 10, 0.172125, 0.185939, 0.125747, 0.487449, 1.208594300, Monroe/p-0073-provide-temp-heat
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.036796, 0.023624, 0.026728, 0.088273, .820937395, Monroe/p-0056-provide-medical-attention
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.036089, 0.024849, 0.028379, 0.090422, .797243192, Monroe/p-0022-provide-medical-attention
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.036124, 0.023041, 0.026886, 0.087224, .799566142, Monroe/p-0033-provide-medical-attention
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.062704, 0.047496, 0.047142, 0.159067, .827952453, Monroe/p-0049-plow-road
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.061457, 0.048388, 0.04638, 0.157999, .833204535, Monroe/p-0064-plow-road
17739, 2, false, 27207, 1, 6, 2.08932, 7138, 22607, true, 10, 0.1811, 0.20227, 0.115806, 0.502759, 1.207582754, Monroe/p-0048-provide-temp-heat
8392, 7, true, 9159, 1, 5, 1.69058, 1238, 5714, true, 7, 0.036854, 0.020785, 0.025672, 0.084416, .769280012, Monroe/p-0035-fix-power-line
9165, 1, false, 9897, 1, 6, 1.7278, 1566, 6282, true, 8, 0.047084, 0.027179, 0.031088, 0.106561, .780953080, Monroe/p-0085-quell-riot
17739, 2, false, 27207, 1, 6, 2.08932, 7138, 22607, true, 10, 0.171035, 0.187802, 0.115777, 0.47823, 1.184156559, Monroe/p-0030-provide-temp-heat
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.075679, 0.056751, 0.04519, 0.179458, .836264366, Monroe/p-0011-plow-road
14381, 5, true, 23737, 1, 5, 1.9711, 4071, 19137, true, 8, 0.134474, 0.133603, 0.089638, 0.360926, .980164383, Monroe/p-0075-clear-road-tree
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.084563, 0.058854, 0.073247, 0.2195, 1.075266150, Monroe/p-0002-plow-road
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.044784, 0.036394, 0.037443, 0.120261, 1.023832742, Monroe/p-0008-provide-medical-attention
14381, 5, true, 23737, 1, 5, 1.9711, 4071, 19137, true, 8, 0.184585, 0.175867, 0.109682, 0.474218, 1.225297110, Monroe/p-0029-clear-road-tree
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.096404, 0.059434, 0.07101, 0.228605, 1.111320480, Monroe/p-0046-clear-road-wreck
18287, 3, true, 18588, 1, 5, 1.75285, 3510, 11694, true, 8, 0.241503, 0.098971, 0.077788, 0.421084, 1.226718682, Monroe/p-0060-clear-road-wreck
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.07294, 0.069459, 0.055996, 0.200351, .975095468, Monroe/p-0044-plow-road
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.101332, 0.067035, 0.058437, 0.229742, .964323054, Monroe/p-0057-clear-road-wreck
9165, 1, false, 9897, 1, 6, 1.7278, 1566, 6282, true, 8, 0.053232, 0.053795, 0.041935, 0.152527, .869258905, Monroe/p-0089-quell-riot
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.041957, 0.025821, 0.042282, 0.111362, .881633032, Monroe/p-0053-provide-medical-attention
21641, 2, true, 30742, 1, 5, 2.14583, 9574, 25738, true, 8, 0.275018, 0.319243, 0.190671, 0.793486, 1.392133834, Monroe/p-0028-set-up-shelter
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.102444, 0.062144, 0.051449, 0.218022, .963978408, Monroe/p-0063-clear-road-wreck
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.08865, 0.05502, 0.052958, 0.198382, .940329404, Monroe/p-0025-clear-road-wreck
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.078346, 0.065207, 0.05428, 0.199986, 1.037869484, Monroe/p-0087-plow-road
21641, 2, true, 30742, 1, 5, 2.14583, 9574, 25738, true, 8, 0.22406, 0.265302, 0.141946, 0.635562, 1.517291794, Monroe/p-0092-set-up-shelter
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.079665, 0.048371, 0.042541, 0.172155, .863862054, Monroe/p-0001-clear-road-wreck
9165, 1, false, 9897, 1, 6, 1.7278, 1566, 6282, true, 8, 0.046998, 0.026077, 0.029143, 0.103514, .794729383, Monroe/p-0070-quell-riot
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.078786, 0.054186, 0.062623, 0.197587, .827486212, Monroe/p-0069-plow-road
9165, 1, false, 9897, 1, 6, 1.7278, 1566, 6282, true, 8, 0.049861, 0.036894, 0.038563, 0.126854, .854348818, Monroe/p-0009-quell-riot
9165, 1, false, 9897, 1, 6, 1.7278, 1566, 6282, true, 8, 0.053741, 0.029583, 0.033586, 0.118299, .839260813, Monroe/p-0090-quell-riot
17739, 2, false, 27207, 1, 6, 2.08932, 7138, 22607, true, 10, 0.19406, 0.206223, 0.115528, 0.519985, 1.406731316, Monroe/p-0084-provide-temp-heat
14381, 5, true, 23737, 1, 5, 1.9711, 4071, 19137, true, 8, 0.14795, 0.136667, 0.087198, 0.375523, 1.037395443, Monroe/p-0097-clear-road-tree
13609, 4, true, 14132, 1, 5, 1.87744, 3332, 9682, true, 8, 0.100124, 0.059996, 0.059072, 0.221016, .919648050, Monroe/p-0059-clear-road-hazard
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.037448, 0.022721, 0.026642, 0.087951, .847091835, Monroe/p-0040-provide-medical-attention
14373, 3, true, 23727, 1, 8, 1.97147, 4072, 19127, true, 7, 0.12984, 0.13277, 0.087096, 0.352969, .984620189, Monroe/p-0055-fix-power-line
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.059041, 0.044786, 0.044956, 0.150487, .810490223, Monroe/p-0051-plow-road
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.077414, 0.048024, 0.046578, 0.173579, .822798278, Monroe/p-0091-clear-road-wreck
17739, 2, false, 27207, 1, 6, 2.08932, 7138, 22607, true, 10, 0.171399, 0.19226, 0.115164, 0.48257, 1.164991600, Monroe/p-0086-provide-temp-heat
13609, 4, true, 14132, 1, 5, 1.87744, 3332, 9682, true, 8, 0.097741, 0.059352, 0.049568, 0.208461, .855507769, Monroe/p-0015-clear-road-hazard
17739, 2, false, 27207, 1, 6, 2.08932, 7138, 22607, true, 10, 0.170849, 0.190971, 0.114384, 0.479943, 1.164584133, Monroe/p-0052-provide-temp-heat
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.059004, 0.044935, 0.04496, 0.150603, .817747404, Monroe/p-0077-plow-road
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.058988, 0.044871, 0.044955, 0.150518, .806775042, Monroe/p-0024-plow-road
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.035086, 0.022617, 0.026817, 0.085659, .793349497, Monroe/p-0004-provide-medical-attention
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.061579, 0.046971, 0.046609, 0.156877, .809550965, Monroe/p-0061-plow-road
12093, 10, true, 12682, 1, 5, 1.84088, 2704, 8548, true, 7, 0.078657, 0.049077, 0.043063, 0.172405, .876182356, Monroe/p-0100-fix-water-main
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.060006, 0.044872, 0.044937, 0.151525, .898698118, Monroe/p-0027-plow-road
13609, 4, true, 14132, 1, 5, 1.87744, 3332, 9682, true, 8, 0.096492, 0.060707, 0.050067, 0.209084, .912094581, Monroe/p-0054-clear-road-hazard
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.059857, 0.045036, 0.044982, 0.151586, .844580392, Monroe/p-0023-plow-road
21641, 2, true, 30742, 1, 5, 2.14583, 9574, 25738, true, 8, 0.214139, 0.245295, 0.142514, 0.606218, 1.256781960, Monroe/p-0010-set-up-shelter
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.034315, 0.022651, 0.026559, 0.084659, .802471009, Monroe/p-0068-provide-medical-attention
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.077699, 0.04807, 0.042509, 0.169838, .826472306, Monroe/p-0098-clear-road-wreck
14373, 3, true, 23727, 1, 8, 1.97147, 4072, 19127, true, 7, 0.12245, 0.123727, 0.087073, 0.336293, .961652110, Monroe/p-0016-fix-power-line
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.079619, 0.050277, 0.042632, 0.174146, .824951523, Monroe/p-0041-clear-road-wreck
14381, 5, true, 23737, 1, 5, 1.9711, 4071, 19137, true, 8, 0.127832, 0.130258, 0.088566, 0.349796, .965336701, Monroe/p-0082-clear-road-tree
13609, 4, true, 14132, 1, 5, 1.87744, 3332, 9682, true, 8, 0.109027, 0.061814, 0.049691, 0.22236, .940238388, Monroe/p-0013-clear-road-hazard
14381, 5, true, 23737, 1, 5, 1.9711, 4071, 19137, true, 8, 0.168248, 0.149231, 0.087366, 0.408359, 1.022572251, Monroe/p-0081-clear-road-tree
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.081917, 0.050327, 0.042632, 0.176463, .832380026, Monroe/p-0042-clear-road-wreck
21641, 2, true, 30742, 1, 5, 2.14583, 9574, 25738, true, 8, 0.206062, 0.239782, 0.13603, 0.585998, 1.228246611, Monroe/p-0043-set-up-shelter
17739, 2, false, 27207, 1, 6, 2.08932, 7138, 22607, true, 10, 0.201234, 0.191085, 0.143878, 0.539959, 1.172426923, Monroe/p-0047-provide-temp-heat
14373, 3, true, 23727, 1, 8, 1.97147, 4072, 19127, true, 7, 0.126864, 0.130435, 0.087811, 0.348279, .970127998, Monroe/p-0018-fix-power-line
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.078805, 0.050361, 0.042589, 0.173393, .828414909, Monroe/p-0096-clear-road-wreck
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.035843, 0.022541, 0.026555, 0.086086, .783871263, Monroe/p-0034-provide-medical-attention
21641, 2, true, 30742, 1, 5, 2.14583, 9574, 25738, true, 8, 0.203473, 0.238497, 0.13609, 0.58217, 1.232686761, Monroe/p-0020-set-up-shelter
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.059928, 0.046373, 0.045069, 0.153108, .802702535, Monroe/p-0045-plow-road
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.079184, 0.048052, 0.042464, 0.171263, .820270756, Monroe/p-0093-clear-road-wreck
8392, 7, true, 9159, 1, 5, 1.69058, 1238, 5714, true, 7, 0.03317, 0.020435, 0.025336, 0.080045, .741743115, Monroe/p-0014-fix-power-line
8392, 7, true, 9159, 1, 5, 1.69058, 1238, 5714, true, 7, 0.034393, 0.020524, 0.025329, 0.081375, .739989393, Monroe/p-0079-fix-power-line
9165, 1, false, 9897, 1, 6, 1.7278, 1566, 6282, true, 8, 0.043722, 0.025336, 0.028949, 0.099191, .750494697, Monroe/p-0088-quell-riot
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.079091, 0.048363, 0.042517, 0.171537, .818005002, Monroe/p-0066-clear-road-wreck
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.075514, 0.048031, 0.042568, 0.167669, .814209880, Monroe/p-0019-clear-road-wreck
12092, 3, true, 12684, 1, 5, 1.84122, 2706, 8550, true, 8, 0.075708, 0.048204, 0.042535, 0.168009, .817039862, Monroe/p-0006-clear-road-wreck
13609, 4, true, 14132, 1, 5, 1.87744, 3332, 9682, true, 8, 0.124421, 0.068636, 0.066889, 0.261934, .841999515, Monroe/p-0050-clear-road-hazard
13609, 4, true, 14132, 1, 5, 1.87744, 3332, 9682, true, 8, 0.097444, 0.06045, 0.050146, 0.209834, .879390462, Monroe/p-0037-clear-road-hazard
8430, 1, false, 9464, 1, 5, 1.70678, 1248, 6027, true, 8, 0.042876, 0.023861, 0.026621, 0.094561, .818841149, Monroe/p-0072-provide-medical-attention
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.06104, 0.047227, 0.045212, 0.155227, .984708021, Monroe/p-0038-plow-road
12093, 10, true, 12682, 1, 5, 1.84088, 2704, 8548, true, 7, 0.119398, 0.066631, 0.053657, 0.241768, .899714688, Monroe/p-0058-fix-water-main
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.07941, 0.060598, 0.058318, 0.200427, 1.086218456, Monroe/p-0078-plow-road
10303, 1, false, 13973, 1, 5, 1.80749, 2448, 9808, true, 9, 0.076981, 0.05853, 0.057573, 0.195157, .878439200, Monroe/p-0012-plow-road
14373, 3, true, 23727, 1, 8, 1.97147, 4072, 19127, true, 7, 0.123216, 0.123876, 0.087114, 0.337289, 1.021636236, Monroe/p-0095-fix-power-line
13609, 4, true, 14132, 1, 5, 1.87744, 3332, 9682, true, 8, 0.09563, 0.059588, 0.049616, 0.206675, .855150460, Monroe/p-0074-clear-road-hazard
14381, 5, true, 23737, 1, 5, 1.9711, 4071, 19137, true, 8, 0.1589, 0.171908, 0.10065, 0.435724, 1.231618996, Monroe/p-0017-clear-road-tree
