Tasks, Init Task size, Init Task needed cycle breaking, Methods, min(excl. init), max(excl. init), avg(excl. init), Num methods needed cycle breaking, Num methods with > 1 subtasks, Recursive, TDG Height(root=0), find all prec eff(secs), find new orderings(secs), break cycles and topSort(secs), Preprocessing time, Grounding time, Problem Name
102683, 65, true, 512099, 1, 3, 1.01771, 6238, 6238, false, 5, 1.99509, 0.146446, 1.88589, 4.93857, 5.878866410, Woodworking/28
36, 5, true, 38, 1, 3, 1.07895, 4, 4, false, 3, 1.2e-05, 9e-06, 9.8e-05, 0.000145, .013639285, Woodworking/05--p02-part4
110366, 70, true, 521261, 1, 3, 1.01926, 6889, 6889, false, 5, 2.25595, 0.169808, 2.29902, 6.08593, 6.271154970, Woodworking/29
1267, 5, true, 2087, 1, 3, 1.22233, 321, 321, false, 6, 0.001607, 0.000676, 0.005577, 0.008187, .053342713, Woodworking/10--p04-part1
120819, 75, true, 592235, 1, 3, 1.01804, 7330, 7330, false, 5, 2.87917, 0.187864, 2.34165, 6.72111, 7.324008630, Woodworking/30
43515, 30, true, 196969, 1, 3, 1.0216, 2920, 2920, false, 5, 0.402822, 0.030587, 0.300226, 0.786946, 2.173266748, Woodworking/21
254, 7, true, 320, 1, 3, 1.1125, 29, 29, false, 5, 0.00013, 6.1e-05, 0.000744, 0.001051, .027191198, Woodworking/06--p02-complete
49650, 35, true, 230394, 1, 3, 1.02035, 3235, 3235, false, 5, 0.562964, 0.0383, 0.373977, 1.05426, 2.631594020, Woodworking/22
1175, 6, true, 1670, 1, 3, 1.16287, 175, 175, false, 6, 0.001142, 0.000419, 0.003752, 0.005605, .054547436, Woodworking/09--p03-complete
29, 3, true, 37, 1, 3, 2.10811, 15, 32, false, 4, 9e-06, 1.4e-05, 0.00021, 0.000261, .004974769, Satellite/3obs-1sat-2mod
128, 5, true, 260, 1, 3, 2.26154, 135, 216, false, 4, 4.4e-05, 0.000135, 0.001723, 0.002022, .007962093, Satellite/5obs-2sat-2mod
10, 1, false, 10, 1, 4, 2.1, 3, 7, false, 3, 3e-06, 4e-06, 7.3e-05, 8.9e-05, .003860504, Satellite/1obs-1sat-1mod
17, 2, true, 21, 1, 4, 2.42857, 9, 18, false, 3, 5e-06, 1e-05, 0.000171, 0.000231, .004109167, Satellite/2obs-1sat-1mod
32, 2, true, 38, 1, 4, 2.13158, 14, 32, false, 4, 1e-05, 1.7e-05, 0.000224, 0.000272, .004958991, Satellite/2obs-2sat-2mod
88, 4, true, 135, 1, 3, 2.20741, 61, 115, false, 4, 2.8e-05, 7.1e-05, 0.00086, 0.001029, .006812946, Satellite/4obs-2sat-3mod
22, 3, true, 29, 1, 4, 2.51724, 13, 25, false, 3, 7e-06, 1.4e-05, 0.000272, 0.000323, .004363620, Satellite/3obs-1sat-1mod
58, 3, true, 81, 1, 3, 2.16049, 32, 71, false, 4, 1.8e-05, 4e-05, 0.000472, 0.000569, .005679850, Satellite/3obs-2sat-2mod
55, 4, true, 92, 1, 3, 2.21739, 45, 77, false, 4, 1.7e-05, 3.8e-05, 0.000612, 0.000724, .005794582, Satellite/4obs-1sat-3mod
66, 3, true, 99, 1, 4, 2.61616, 43, 87, false, 3, 2.1e-05, 7.4e-05, 0.00086, 0.000998, .006393880, Satellite/3obs-3sat-1mod
76, 6, true, 120, 1, 4, 2.71667, 55, 109, false, 3, 2.3e-05, 8.6e-05, 0.001172, 0.001407, .006799991, Satellite/6obs-2sat-2mod
55, 3, true, 74, 1, 3, 2.14865, 29, 64, false, 4, 2.4e-05, 3.8e-05, 0.000419, 0.000522, .006054325, Satellite/3obs-2sat-3mod
139, 5, true, 202, 1, 4, 2.38614, 85, 182, false, 4, 4.9e-05, 0.00017, 0.001469, 0.001802, .008935467, Satellite/5obs-5sat-5mod
98, 4, true, 155, 1, 4, 2.25806, 72, 125, false, 4, 3.4e-05, 0.000106, 0.001071, 0.001283, .007699574, Satellite/4obs-4sat-4mod
40, 1, false, 59, 1, 4, 2.47458, 24, 48, false, 3, 1.3e-05, 3.1e-05, 0.00049, 0.000556, .005115079, Satellite/1obs-2sat-1mod
44, 3, true, 64, 1, 4, 2.59375, 28, 56, false, 3, 1.4e-05, 4e-05, 0.000556, 0.000645, .005683637, Satellite/3obs-2sat-1mod
